venue,wiki_names
"Wankhede Stadium, Mumbai",Wankhede Stadium
"Dr DY Patil Sports Academy, Mumbai",DY Patil Stadium
"Maharashtra Cricket Association Stadium, Pune",Maharashtra Cricket Association Stadium
"Brabourne Stadium, Mumbai",Brabourne Stadium
"Tribhuvan University International Cricket Ground, Kirtipur",Nepal national cricket team
"Desert Springs Cricket Ground, Almeria",Desert Springs Cricket Ground
Marsa Sports Club,Marsa Sports Club
"Centre for Cricket Development Ground, Windhoek",Ireland cricket team
"Hazelaarweg, Rotterdam",Hazelaarweg Stadion
"Eden Gardens, Kolkata",Eden Gardens
"Choice Moosa Stadium, Pearland",Moosa Stadium
"Moosa Cricket Stadium, Pearland",Moosa Stadium
Multan Cricket Stadium,Multan Cricket Stadium
"Kyambogo Cricket Ground, Kampala",Uganda national cricket team
Bayer Uerdingen Cricket Ground,List of Twenty20 International cricket grounds
"Kinrara Academy Oval, Kuala Lumpur",Kinrara Academy Oval
Galle International Stadium,Galle International Stadium
"Meersen, Gent",Gentbrugge
"Royal Brussels Cricket Club Ground, Waterloo",List of cricket grounds by capacity
Tikkurila Cricket Ground,List of Twenty20 International cricket grounds
Kerava National Cricket Ground,Kerava National Cricket Ground
"Indian Association Ground, Singapore",List of international cricket centuries by Sachin Tendulkar
"Sportpark Harga, Schiedam",List of women's Twenty20 International cricket grounds
"Sportpark Westvliet, Voorburg",List of One Day International cricket grounds
Bulawayo Athletic Club,Bulawayo Athletic Club
"Queens Sports Club, Bulawayo",Queens Sports Club
"UKM-YSD Cricket Oval, Bangi",List of Twenty20 International cricket grounds
"Mannofield Park, Aberdeen",List of Twenty20 International cricket grounds
"Hagley Oval, Christchurch",Hagley Oval
"Brisbane Cricket Ground, Woolloongabba, Brisbane",The Gabba
"Bellerive Oval, Hobart",Bellerive Oval
"Warner Park, Basseterre, St Kitts",Warner Park Sporting Complex
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Daren Sammy Cricket Ground
"Queen's Park Oval, Port of Spain, Trinidad",Queen's Park Oval
"Brian Lara Stadium, Tarouba, Trinidad",Brian Lara Cricket Academy
"Providence Stadium, Guyana",Providence Stadium
Lisicji Jarak Cricket Ground,List of Twenty20 International cricket grounds
"Great Barrier Reef Arena, Mackay",Great Barrier Reef Arena
"Western Australia Cricket Association Ground, Perth",Perth Stadium
"Eastern Oval, Ballarat",Ballarat Cricket Association
"North Sydney Oval, Sydney",North Sydney Oval
"Lilac Hill Park, Perth",List of cricket grounds in Australia
"Junction Oval, Melbourne",Junction Oval
"Latrobe Recreation Ground, Latrobe",Bardon Latrobe FC
"Ted Summerton Reserve, Moe",List of cricket grounds in Australia
"Cazaly's Stadium, Cairns",Cazalys Stadium
Perth Stadium,Perth Stadium
Adelaide Oval,Adelaide Oval
Melbourne Cricket Ground,Melbourne Cricket Ground
"University of Tasmania Stadium, Launceston",York Park
Sydney Showground Stadium,Sydney Showground Stadium
"Docklands Stadium, Melbourne",Docklands Stadium
Sydney Cricket Ground,Sydney Cricket Ground
"Maple Leaf North-West Ground, King City",Maple Leaf Cricket Club
"Maple Leaf North-East Ground, King City",Maple Leaf Cricket Club
"Farmers Cricket Club Ground, St Martin",List of Twenty20 International cricket grounds
"Grainville, St Saviour",Nigeria national cricket team
"National Stadium, Karachi","National Stadium, Karachi"
"Gaddafi Stadium, Lahore",Gaddafi Stadium
Dubai International Cricket Stadium,Dubai International Cricket Stadium
Sharjah Cricket Stadium,Sharjah Cricket Stadium
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman Cricket Academy Ground
"Gymkhana Club Ground, Nairobi",Gymkhana Club Ground
"ICC Academy, Dubai",ICC Academy Ground
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",The Grange Club
Rawalpindi Cricket Stadium,Rawalpindi Cricket Stadium
"Amini Park, Port Moresby",Port Moresby
"Tolerance Oval, Abu Dhabi",Sheikh Zayed Cricket Stadium
"Sheikh Zayed Stadium, Abu Dhabi",Sheikh Zayed Cricket Stadium
"Willowmoore Park, Benoni",Willowmoore Park
"Sawai Mansingh Stadium, Jaipur",Sawai Mansingh Stadium
"Saurashtra Cricket Association Stadium, Rajkot",Saurashtra Cricket Association Stadium
"Jadavpur University Campus 2nd Ground, Kolkata",Mohammedan SC (Kolkata)
"Independence Park, Port Vila",Independence Park
"Senwes Park, Potchefstroom",Potchefstroom
"Sylhet International Cricket Stadium, Academy Ground",Sylhet International Cricket Stadium
Sylhet International Cricket Stadium,Sylhet International Cricket Stadium
"Trent Bridge, Nottingham",Trent Bridge
"Edgbaston, Birmingham",Edgbaston Cricket Ground
"Kennington Oval, London",The Oval
"Lord's, London",Lord's
"County Ground, Bristol",Bristol County Ground
"The Rose Bowl, Southampton",Rose Bowl (cricket ground)
"The Cooper Associates County Ground, Taunton","County Ground, Taunton"
"Riverside Ground, Chester-le-Street",Riverside Ground
"County Ground, Northampton","County Cricket Ground, Northampton"
"Grace Road, Leicester",Grace Road
Sano International Cricket Ground,Sano International Cricket Ground
"Boland Park, Paarl",Boland Park
"St George's Park, Gqeberha",St George's Park Cricket Ground
"Newlands, Cape Town",Newlands Cricket Ground
"Basin Reserve, Wellington",Basin Reserve
"John Davies Oval, Queenstown",Queenstown Events Centre
"Eden Park Outer Oval, Auckland",Eden Park
"Seddon Park, Hamilton",Seddon Park
"University Oval, Dunedin",University of Otago Oval
"Saxton Oval, Nelson",Saxton Oval
"Wanderers Cricket Ground, Windhoek",Namibia national cricket team
Integrated Polytechnic Regional Centre,List of women's Twenty20 International cricket grounds
Gahanga International Cricket Stadium. Rwanda,Rwanda Cricket Stadium
"Bayuemas Oval, Kuala Lumpur",Nepal national under-19 cricket team
"Sir Vivian Richards Stadium, North Sound, Antigua",Sir Vivian Richards Stadium
"Kensington Oval, Bridgetown, Barbados",Kensington Oval
"Kingsmead, Durban",Kingsmead Cricket Ground
"The Wanderers Stadium, Johannesburg",Wanderers Stadium
"SuperSport Park, Centurion",Centurion Park
"Buffalo Park, East London",Buffalo Park
"Zayed Cricket Stadium, Abu Dhabi",Sheikh Zayed Cricket Stadium
"County Ground, New Road, Worcester","New Road, Worcester"
"Old Trafford, Manchester",Old Trafford Cricket Ground
"Headingley, Leeds",Headingley Cricket Ground
"County Ground, Chelmsford","County Cricket Ground, Chelmsford"
"North Marine Road Ground, Scarborough","North Marine Road Ground, Scarborough"
"Kent County Cricket Ground, Beckenham",Nevill Ground
"Queen's Park, Chesterfield","Chesterfield, Derbyshire"
"Woodbridge Road, Guildford",List of women's Test cricket grounds
"New Close County Cricket Ground, Newport, Isle-of-Wight","Newport, Isle of Wight"
"Roseworth Terrace, Gosforth",Gosforth
"The John Fretwell Sporting Complex, Nettleworth",0
Arundel Castle Cricket Club Ground,"County Cricket Ground, Hove"
"Edgbaston Foundation Community Sports Ground, Birmingham",Birmingham
"Radlett Cricket Club, Radlett",Radlett
"Rookwood, Sale",Crystal Palace F.C.
"Haslegrave Ground, Loughborough",Loughborough University
"County Ground, Derby","County Cricket Ground, Derby"
"Sophia Gardens, Cardiff",Sophia Gardens (cricket ground)
"Stanley Park, Blackpool",Blackpool
Sedbergh School,Harry Brook
"The Gnoll, Neath",The Gnoll
Kibworth Cricket Club New Ground,Kibworth Cricket Club New Ground
"St Lawrence Ground, Canterbury",St Lawrence Ground
"County Ground, Hove","County Cricket Ground, Hove"
"Merchant Taylors' School Ground, Northwood",South East England
"Shere Bangla National Stadium, Mirpur",Sher-e-Bangla National Cricket Stadium
"Zahur Ahmed Chowdhury Stadium, Chattogram",Zohur Ahmed Chowdhury Stadium
La Manga Club Bottom Ground,La Manga Club
"M Chinnaswamy Stadium, Bengaluru",M. Chinnaswamy Stadium
"Arun Jaitley Stadium, Delhi",Arun Jaitley Cricket Stadium
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Inderjit Singh Bindra Stadium
"MA Chidambaram Stadium, Chepauk, Chennai",M. A. Chidambaram Stadium
"Narendra Modi Stadium, Ahmedabad",Narendra Modi Stadium
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Himachal Pradesh Cricket Association Stadium
"St Albans Club, Buenos Aires",Argentina national cricket team
"Hurlingham Club Ground, Buenos Aires",Hurlingham Club (Argentina)
"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong national cricket team
"United Cricket Club Ground, Windhoek",United States national cricket team
"Terdthai Cricket Ground, Bangkok",List of cricket grounds by capacity
Kowloon Cricket Club,Hong Kong Cricket Sixes
Santarem Cricket Ground,List of Twenty20 International cricket grounds
Europa Sports Complex,Europa Sports Park
Mulpani Cricket Ground,Mulpani Cricket Stadium
"Svanholm Park, Brondby",Svanholm Park
"Solvangs Park, Glostrup",List of Twenty20 International cricket grounds
"YSD-UKM Cricket Oval, Bangi",List of Twenty20 International cricket grounds
"Takashinga Sports Club, Highfield, Harare",Nepal national cricket team
Harare Sports Club,Harare Sports Club
"Grainville, St Saviour, Jersey",Nigeria national cricket team
"Scott Page Field, Vinor",List of Twenty20 International cricket grounds
Grand Prairie Stadium,Grand Prairie Stadium
"Church Street Park, Morrisville",Church Street Park
"National Sports Academy, Sofia",List of Twenty20 International cricket grounds
"R Premadasa Stadium, Colombo",R. Premadasa Stadium
Pallekele International Cricket Stadium,Pallekele International Cricket Stadium
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajiv Gandhi International Cricket Stadium
"Sportpark Het Schootsveld, Deventer",List of Twenty20 International cricket grounds
"Moara Vlasiei Cricket Ground, Ilfov County",List of India Twenty20 International cricket records
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Mahinda Rajapaksa International Cricket Stadium
Turf City B Cricket Ground,M. Chinnaswamy Stadium
"West End Park International Cricket Stadium, Doha",West End Park International Cricket Stadium
"Selangor Turf Club, Kuala Lumpur",Malaysia national cricket team
"Botswana Cricket Association Oval 2, Gaborone",Botswana Cricket Association Oval
"Botswana Cricket Association Oval 1, Gaborone",Botswana Cricket Association Oval
"Woodley Cricket Field, Los Angeles",List of cricket grounds in the United States
Zhejiang University of Technology Cricket Field,Zhejiang University of Technology Cricket Field
"Arnos Vale Ground, Kingstown",Arnos Vale Stadium
"Daren Sammy National Cricket Stadium, Gros Islet",Daren Sammy Cricket Ground
SuperSport Park,Centurion Park
Kingsmead,Kingsmead Cricket Ground
"Zahur Ahmed Chowdhury Stadium, Chittagong",Zohur Ahmed Chowdhury Stadium
"Sheikh Abu Naser Stadium, Khulna",Sheikh Abu Naser Stadium
"MA Aziz Stadium, Chittagong",M. A. Aziz Stadium
W.A.C.A. Ground,WACA Ground
"Iqbal Stadium, Faisalabad",Iqbal Stadium
Eden Park,Eden Park
Arbab Niaz Stadium,Arbab Niaz Stadium
Gaddafi Stadium,Gaddafi Stadium
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Dr. Y. S. Rajashekar Reddy ACA–VDCA Cricket Stadium
"Sardar Patel (Gujarat) Stadium, Motera","Sardar Vallabhbhai Patel Stadium, Ahmedabad"
Green Park,Green Park Stadium
Arun Jaitley Stadium,Arun Jaitley Cricket Stadium
"New Wanderers Stadium, Johannesburg",Wanderers Stadium
"De Beers Diamond Oval, Kimberley",De Beers Diamond Oval
"Boland Bank Park, Paarl",Boland Park
"Brisbane Cricket Ground, Woolloongabba",The Gabba
Sinhalese Sports Club,List of international cricket grounds in Sri Lanka
R.Premadasa Stadium,R. Premadasa Stadium
Sharjah Cricket Association Stadium,Sharjah Cricket Stadium
Edgbaston,Edgbaston Cricket Ground
The Rose Bowl,Rose Bowl (cricket ground)
Rangiri Dambulla International Stadium,Rangiri Dambulla International Stadium
VRA Cricket Ground,VRA Cricket Ground
Lord's,Lord's
National Stadium,M. Chinnaswamy Stadium
"Bankstown Oval, Sydney",Bankstown Oval
"County Ground, Taunton","County Ground, Taunton"
"St George's Park, Port Elizabeth",St George's Park Cricket Ground
Alembic 1 Cricket Ground,List of cricket grounds in India
DRIEMS Ground,Odisha cricket team
Jawaharlal Nehru Stadium,Jawaharlal Nehru Stadium (Delhi)
Barabati Stadium,Barabati Stadium
Reliance Cricket Stadium,"Lal Bahadur Shastri Stadium, Hyderabad"
St  Pauls college ground  Kalamassery,Kochi
Sharad Pawar Cricket Academy BKC,2023–24 Vijay Hazare Trophy Group E
Wankhede Stadium,Wankhede Stadium
"Guyana National Stadium, Providence",Providence Stadium
Tafawa Balewa Square (TBS) Cricket Oval,Tafawa Balewa Square
"Karen Rolton Oval, Adelaide",Adelaide Strikers (WBBL)
"Casey Fields No 4, Melbourne",Casey Fields
"Jubilee Park, Ringwood, Melbourne",1908 VFL season
"Allan Border Field, Brisbane",Allan Border Field
"Cricket Central, Sydney",Sydney Cricket Ground
Udayana Cricket Ground,List of Twenty20 International cricket grounds
Hong Kong Cricket Club,Hong Kong Cricket Sixes
"Clifton Park Ground, York",List of defunct English football stadiums
"The John Fretwell Sporting Complex, Sookholme",0
"Sportpark Maarschalkerweerd, Utrecht",List of Twenty20 International cricket grounds
"Gahanga International Cricket Stadium, Rwanda",Rwanda Cricket Stadium
Vanuatu Cricket Ground,Vanuatu Cricket Ground
Vanuatu Cricket Ground (Oval 2),Vanuatu Cricket Ground
"Bready Cricket Club, Magheramason, Bready",List of Twenty20 International cricket grounds
"Civil Service Cricket Club, Stormont, Belfast",Cricket in Ireland
"Mangaung Oval, Bloemfontein",Mangaung Oval
"Sedgars Park, Potchefstroom",JB Marks Oval
Indian Association Ground,M. Chinnaswamy Stadium
"Holkar Cricket Stadium, Indore",Holkar Stadium
"City Oval, Pietermaritzburg",City Oval
"White Hill Field, Sandys Parish",White Hill Field
"National Stadium, Hamilton",Bermuda National Stadium
"Tafawa Balewa Square Cricket Oval, Lagos",Tafawa Balewa Square
"JSCA International Stadium Complex, Ranchi",JSCA International Stadium Complex
"Abhimanyu Cricket Academy, Dehradun",Abhimanyu Cricket Academy
San Albano,Argentina national cricket team
St Georges Quilmes,Associate international cricket in 2023–24
Senwes Park,JB Marks Oval
North-West University No1 Ground,Leeds
New Strabane Park,List of India national cricket captains
"Woodvale Road, Eglinton",2009–10 ICC Intercontinental Cup
"Merrion Cricket Club Ground, Dublin",Dublin
"Church of Ireland Young Men's Society Cricket Club Ground, Belfast",Oldest football clubs
North Sydney Oval,North Sydney Oval
Gliderol Stadium,Glenelg Oval
Camberwell Sports Ground,The Gabba
Docklands Stadium,Docklands Stadium
Manuka Oval,Manuka Oval
Wanderers Cricket Ground,Wanderers Stadium
Affies Park,List of One Day International cricket grounds
County Ground,Headingley Cricket Ground
Headingley,Headingley Cricket Ground
Saurashtra Cricket Association Stadium,Saurashtra Cricket Association Stadium
Shaheed Veer Narayan Singh International Stadium,Shaheed Veer Narayan Singh International Cricket Stadium
JSCA International Stadium Complex,JSCA International Stadium Complex
"JU Second Campus, Salt Lake",Jadavpur University
Eden Gardens,Eden Gardens
"Pembroke Cricket Club, Sandymount, Dublin","Donnybrook, Dublin"
Bert Sutcliffe Oval,List of cricket grounds in New Zealand
Hagley Oval,Hagley Oval
YMCA Cricket Club,List of women's Twenty20 International cricket grounds
The Vineyard,Pakistan women's national cricket team
Junction Oval,Junction Oval
Geelong Cricket Ground,Kardinia Park (stadium)
"Simonds Stadium, South Geelong, Victoria",Kardinia Park (stadium)
Harrup Park,Australia national cricket team
Drummoyne Oval,Drummoyne Oval
"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -DVR Ground,Mulapadu",0
"Airforce Complex ground, Palam",2017–18 Indian cricket season
"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -CP Ground,Mulapadu",0
Holkar Stadium,Holkar Stadium
 Emerald Heights International School Ground,Emerald High School Ground
Old Hararians,Old Hararians
Takashinga Sports Club,List of One Day International cricket grounds
Karen Rolton Oval,List of cricket grounds by capacity
Blacktown International Sportspark,Blacktown International Sportspark
Eastern Oval,St George's Park Cricket Ground
Allan Border Field,Allan Border Field
La Manga Club Top Ground,La Manga Club
Sportpark Het Schootsveld,List of Twenty20 International cricket grounds
Forthill,List of women's Twenty20 International cricket grounds
Lochlands,List of women's Twenty20 International cricket grounds
Greenfield Stadium,Greenfield International Stadium
Lalbhai Contractor Stadium,Lalabhai Contractor Stadium
St'Xavier's KCA Cricket Ground,2017–18 Indian cricket season
C B Patel Ground,Narendra Modi Stadium
Molyneux Park,Wellington Regional Stadium
Eden Park Outer Oval,Eden Park
Seddon Park,Seddon Park
Basin Reserve,Basin Reserve
McLean Park,McLean Park
"Bay Oval, Mount Maunganui",Mount Maunganui
"Eden Park, Auckland",Eden Park
Alur Cricket Stadium,Three Ovals KSCA Stadium
SSN College Ground,Sport in Chennai
Sri Ramachandra Medical College,Sri Ramachandra Institute of Higher Education and Research
Alur Cricket Stadium II,List of List A cricket records
IC-Gurunanak College Ground,0
T I Murugappa Ground,M. A. Chidambaram Stadium
Jadavpur University Campus,Jadavpur University Campus Ground
Alur Cricket Stadium III,2015–16 Vijay Hazare Trophy Group B
Motibaug Cricket Ground,List of international cricket grounds in India
University Oval,List of cricket grounds in Australia
Westpac Stadium,Wellington Regional Stadium
Sky Stadium,Wellington Regional Stadium
Kibworth Cricket Club Ground,Kibworth Cricket Club New Ground
"FP Fenner's Ground, Cambridge",Fenner's
"Boughton Hall Cricket Club Ground, Chester",0
"The Green, Comber",List of centuries in women's One Day International cricket
"Sabina Park, Kingston, Jamaica",Sabina Park
"Manuka Oval, Canberra",Manuka Oval
"Ray Mitchell Oval, Harrup Park, Mackay",Great Barrier Reef Arena
"Aurora Stadium, Launceston",York Park
"University Oval, Hobart",Bellerive Oval
Gucherre Cricket Ground,Portugal national cricket team
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Oman Cricket Academy Ground
Gurugram Cricket Ground (SRNCC),0
Chaudhry Bansi Lal Cricket Stadium,Adnan Sami
Nehru Stadium,"Nehru Stadium, Indore"
Alembic 2  Cricket Ground,List of cricket grounds in India
"ACA Stadium, Barsapara","Assam Cricket Association Stadium, Guwahati"
"Coolidge Cricket Ground, Antigua",Coolidge Cricket Ground
"ICC Academy Ground No 2, Dubai",ICC Academy Ground
"McLean Park, Napier",McLean Park
"College Ground, Cheltenham",College Ground
"Mitchells and Butlers' Ground, Birmingham",Birmingham
"GMHBA Stadium, South Geelong, Victoria",Kardinia Park (stadium)
"Vidarbha Cricket Association Stadium, Jamtha",Vidarbha Cricket Association Stadium
VCA Ground,Vidarbha Cricket Association Stadium
"International Sports Stadium, Coffs Harbour",Coffs Harbour International Stadium
"Barsapara Cricket Stadium, Guwahati","Assam Cricket Association Stadium, Guwahati"
"Greenfield International Stadium, Thiruvananthapuram",Greenfield International Stadium
"Jade Stadium, Christchurch",Lancaster Park
"Davies Park, Queenstown",Queenstown Events Centre
"Westpac Stadium, Wellington",Wellington Regional Stadium
"Westpac Park, Hamilton",Seddon Park
"Queen's Park (New), St George's, Grenada",National Cricket Stadium (Grenada)
"Arnos Vale Ground, Kingstown, St Vincent",Arnos Vale Stadium
"Bundaberg Rum Stadium, Cairns",Cazalys Stadium
"Marrara Cricket Ground, Darwin",Marrara Oval
"Goodyear Park, Bloemfontein",Mangaung Oval
"North West Cricket Stadium, Potchefstroom",List of cricket grounds by capacity
"The Royal & Sun Alliance County Ground, Bristol",Bristol County Ground
"Bangabandhu National Stadium, Dhaka",Bangabandhu National Stadium
"Shaheed Veer Narayan Singh International Stadium, Raipur",Shaheed Veer Narayan Singh International Cricket Stadium
"Diamond Oval, Kimberley",De Beers Diamond Oval
Morodok Techo National Stadium,Morodok Techo National Stadium
"Bradman Oval, Bowral",Don Bradman
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Vidarbha Cricket Association Stadium
"Belgrano Athletic Club Ground, Buenos Aires",Belgrano Athletic Club
"Lavington Sports Oval, Albury",Lavington Sports Ground
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Dr. Y. S. Rajashekar Reddy ACA–VDCA Cricket Stadium
"Sir Paul Getty's Ground, Wormsley",List of women's Test cricket grounds
"P Sara Oval, Colombo",Paikiasothy Saravanamuttu Stadium
"Sinhalese Sports Club Ground, Colombo",Colombo Cricket Club Ground
"Mardyke, Cork",Mardyke (UCC)
"FB Fields, St Clement",FB Playing Fields
Western Australia Cricket Association Ground,Western Australia cricket team
Kennington Oval,The Oval
