venue,wiki_names
"Trafalgar Road Ground, Southport",List of Australian rules football clubs in Australia
Old Hararians Sports Club,Old Hararians
Royal Selangor Club,Royal Selangor Club
"GSSS, Sector 26",0
Sher-e-Bangla National Cricket Stadium,Sher-e-Bangla National Cricket Stadium
Gymkhana Club Ground,Gymkhana Club Ground
St Lawrence Ground,St Lawrence Ground
"VRA Ground, Amstelveen",VRA Cricket Ground
"Enborne Lodge, Newbury",0
"Windsor Park, Roseau, Dominica",Windsor Park (Dominica)
"Millfield School, Street","Edmonton, London"
Oakham School Ground,Stuart Broad
"Goldenacre, Edinburgh",List of cricket grounds by capacity
Sportpark Duivesteijn,List of women's One Day International cricket grounds
"Castle Avenue, Dublin",Castle Avenue cricket ground
"GB Oval, Szodliget",Hungary national cricket team
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Central Broward Park
"The Hills, Milverton",Nuneaton
"Malahide, Dublin",Dublin
"Tony Ireland Stadium, Townsville",Riverway Stadium
"Sportpark Westvliet, The Hague",List of Twenty20 International cricket grounds
MA Chidambaram Stadium,M. A. Chidambaram Stadium
"Riverway Stadium, Townsville",Riverway Stadium
"Fitzherbert Park, Palmerston North",Palmerston North
"Pukekura Park, New Plymouth",Pukekura Park
"Cobham Oval (New), Whangarei",Cobham Oval
Carrara Oval,Carrara Stadium
"Blacktown International Sportspark, Sydney",Blacktown International Sportspark
"Drummoyne Oval, Sydney",Drummoyne Oval
Kaizuka Cricket Ground,List of women's Twenty20 International cricket grounds
"North Dalton Park, Wollongong",List of cricket grounds by capacity
Nuriootpa Centennial Park,List of events during the Silver Jubilee of Elizabeth II
Royal Chiangmai Golf Club,List of women's Twenty20 International cricket grounds
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium B,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
Gokaraju Liala Gangaaraju ACA Cricket Ground,ACA–KDCA Cricket Ground
"ACA Stadium,Mangalagiri",ACA International Cricket Stadium
F B Colony Ground,M. A. Chidambaram Stadium
"Narendra Modi Stadium Ground 'A', Motera",Narendra Modi Stadium
Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,Dr. Y. S. Rajashekar Reddy ACA–VDCA Cricket Stadium
Dr P.V.G. Raju ACA Sports Complex,Dr PVG Raju ACA Sports Complex
"Cricket Stadium, Sector-16",Sector 16 Stadium
BKC Ground,Thakur village
"Airforce Complex ground, Palam II",2017–18 Indian cricket season
"Chevrolet Park, Bloemfontein",Mangaung Oval
"Malek Cricket Ground, Ajman",List of women's Twenty20 International cricket grounds
"Bready Cricket Club, Magheramason",List of Twenty20 International cricket grounds
New Williamfield No1 Oval,List of women's One Day International cricket grounds
"College Field, St Peter Port",List of women's Twenty20 International cricket grounds
"Southend Club Cricket Stadium, Karachi",Southend Club Cricket Stadium
"Barabati Stadium, Cuttack",Barabati Stadium
"M Chinnaswamy Stadium, Bangalore",M. Chinnaswamy Stadium
"Lugogo Cricket Oval, Kampala",Lugogo Stadium
"Antigua Recreation Ground, St John's, Antigua",Antigua Recreation Ground
"Punjab Cricket Association Stadium, Mohali, Chandigarh",Inderjit Singh Bindra Stadium
"Captain Roop Singh Stadium, Gwalior",Captain Roop Singh Stadium
"Nahar Singh Stadium, Faridabad",Nahar Singh Stadium
"Nehru Stadium, Poona","Nehru Stadium, Pune"
"Lal Bahadur Shastri Stadium, Hyderabad, Deccan","Lal Bahadur Shastri Stadium, Hyderabad"
Willowmoore Park C Field,Willowmoore Park
Trent Bridge,Trent Bridge
Zahur Ahmed Chowdhury Stadium,Zohur Ahmed Chowdhury Stadium
Antigua Recreation Ground,Antigua Recreation Ground
"The Village, Malahide, Dublin",List of cricket grounds by capacity
Traeger Park,Traeger Park
Castle Avenue,Castle Avenue cricket ground
Queens Sports Club,Queens Sports Club
Sardar Patel Stadium,Narendra Modi Stadium
Khan Shaheb Osman Ali Stadium,Khan Shaheb Osman Ali Stadium
"Punjab Cricket Association IS Bindra Stadium, Mohali",Inderjit Singh Bindra Stadium
The Wanderers Stadium,Wanderers Stadium
Stadium Australia,Stadium Australia
"Punjab Cricket Association Stadium, Mohali",Maharashtra Cricket Association Stadium
Newlands,Newlands Cricket Ground
"Clontarf Cricket Club Ground, Dublin",Castle Avenue cricket ground
Singapore Cricket Club,Singapore national cricket team
"Cambusdoon New Ground, Ayr",List of One Day International cricket grounds
"Titwood, Glasgow",List of cricket grounds by capacity
Riverside Ground,Riverside Ground
"R.Premadasa Stadium, Khettarama",R. Premadasa Stadium
Buffalo Park,Buffalo Park
York Cricket Club,M. Chinnaswamy Stadium
"Sir Vivian Richards Stadium, North Sound",Sir Vivian Richards Stadium
"Gorse Lane, Grantham",Long Eaton Stadium
"Warner Park, Basseterre",Warner Park Sporting Complex
Welbeck Abbey Cricket Ground,Northampton College
"Cricket Field Road Ground, Horsham",Horsham
"Penrhyn Avenue, Rhos-on-Sea, Colwyn Bay",Colwyn Bay
"Castle Park Cricket Ground, Colchester",Castle Park Cricket Ground
"Nevill Ground, Tunbridge Wells",Nevill Ground
"The Cricket Field, Sedbergh School",Tonbridge School
"Welbeck Colliery Cricket Club Ground, Market Warsop",2015 One-Day Cup
"The Saffrons, Eastbourne",Eastbourne United A.F.C.
"St Helen's, Swansea",St Helen's Rugby and Cricket Ground
"Aigburth, Liverpool",Anfield
"Campbell Park, Milton Keynes",Central Milton Keynes
"Brunton Memorial Ground, Radlett",Radlett
Rugby School Ground,The Gabba
"Instonians Cricket Club, Shaw's Bridge Lower Ground, Belfast",Belfast
"National Cricket Stadium, St George's, Grenada",National Cricket Stadium (Grenada)
Uxbridge Cricket Club Ground,Uxbridge F.C.
"Rajiv Gandhi International Cricket Stadium, Dehradun","Rajiv Gandhi International Cricket Stadium, Dehradun"
Colwyn Bay Cricket Club Ground,Glamorgan County Cricket Club
"Seebarn Cricket Centre, Lower Austria",List of women's Twenty20 International cricket grounds
"Park 25 No 2, Adelaide",Adelaide Oval
"Gliderol Stadium, Adelaide",Glenelg Oval
Entebbe Cricket Oval,List of Twenty20 International cricket grounds
Guttsta Wicked Cricket Club,List of women's Twenty20 International cricket grounds
Happy Valley Ground,"Happy Valley, Hong Kong"
"Reforma Athletic Club, Naucalpan",List of Twenty20 International cricket grounds
University of Lagos Cricket Oval,List of Twenty20 International cricket grounds
"Old Hararians, Harare",Old Hararians
"Sunrise Sports Club, Harare",List of cricket grounds by capacity
"County Ground, New Road",Bristol County Ground
Kent County Cricket Ground,"County Cricket Ground, Hove"
Sophia Gardens,Sophia Gardens (cricket ground)
Old Trafford,Old Trafford Cricket Ground
Grace Road,Grace Road
Old Deer Park,Old Deer Park
Nevill Ground,Nevill Ground
College Ground,Himachal Pradesh Cricket Association Stadium
Himachal Pradesh Cricket Association Stadium,Himachal Pradesh Cricket Association Stadium
M Chinnaswamy Stadium,M. Chinnaswamy Stadium
Feroz Shah Kotla,Arun Jaitley Cricket Stadium
"MA Chidambaram Stadium, Chepauk",M. A. Chidambaram Stadium
Sheikh Zayed Stadium,Sheikh Zayed Cricket Stadium
Tony Ireland Stadium,M. Chinnaswamy Stadium
Greater Noida Sports Complex Ground,Noida Cricket Stadium
Tribhuvan University International Cricket Ground,Mulpani Cricket Stadium
"Mission Road Ground, Mong Kok",List of cricket grounds by capacity
Sheikh Abu Naser Stadium,Sheikh Abu Naser Stadium
The Hills Cricket Club Ground,Himachal Pradesh Cricket Association Stadium
Maharashtra Cricket Association Stadium,Maharashtra Cricket Association Stadium
ICC Academy,M. Chinnaswamy Stadium
Shere Bangla National Stadium,Sher-e-Bangla National Cricket Stadium
Kinrara Academy Oval,Kinrara Academy Oval
Farmers Cricket Club Ground,CB Patel International Cricket Stadium
FB Fields,FB Playing Fields
Grainville,Nigeria national cricket team
"Rajiv Gandhi International Stadium, Uppal",Rajiv Gandhi International Cricket Stadium
Central Broward Regional Park Stadium Turf Ground,Central Broward Park
Sinhalese Sports Club Ground,Singhalese Sports Club Cricket Ground
R Premadasa Stadium,R. Premadasa Stadium
"Civil Service Cricket Club, Stormont",List of Twenty20 International cricket grounds
Cambusdoon New Ground,List of One Day International cricket grounds
"Grange Cricket Club Ground, Raeburn Place",The Grange Club
"Traeger Park, Alice Springs",Traeger Park
"Invermay Park, Launceston","Launceston, Tasmania"
"Green Park, Kanpur",Green Park Stadium
"Windsor Park, Roseau",Windsor Park (Dominica)
Bay Oval,List of Test cricket grounds
St George's Park,St George's Park Cricket Ground
New Wanderers Stadium,Wanderers Stadium
Sir Paul Getty's Ground,Lord's
North Marine Road Ground,"North Marine Road Ground, Scarborough"
Bayuemas Oval,Bayuemas Oval
"The Village, Malahide",List of cricket grounds by capacity
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Mahinda Rajapaksa International Cricket Stadium
"Sabina Park, Kingston",Sabina Park
"Queen's Park Oval, Port of Spain",Queen's Park Oval
"Kensington Oval, Bridgetown",Kensington Oval
"National Cricket Stadium, St George's",National Cricket Stadium (Grenada)
"Beausejour Stadium, Gros Islet",Daren Sammy Cricket Ground
"Sardar Patel Stadium, Motera","Sardar Vallabhbhai Patel Stadium, Ahmedabad"
Brabourne Stadium,Brabourne Stadium
Selangor Turf Club,List of women's Twenty20 International cricket grounds
Providence Stadium,Providence Stadium
Kallang Ground,Kallang Ground
The Padang,"Padang, Singapore"
Saxton Oval,Saxton Oval
Bellerive Oval,Bellerive Oval
Peter Burge Oval,Nepal national under-19 cricket team
Kerrydale Oval,List of cricket grounds in Australia
Hurstville Oval,Hurstville Oval
Bradman Oval,Don Bradman
Colts Cricket Club Ground,Colts Cricket Club Ground
Mercantile Cricket Association Ground,"National Stadium, Karachi"
Yeonhui Cricket Ground,List of cricket grounds by capacity
Mangaung Oval,Mangaung Oval
P Sara Oval,Paikiasothy Saravanamuttu Stadium
The Kent County Cricket Ground,"County Cricket Ground, Hove"
The Cooper Associates County Ground,"County Ground, Taunton"
Queen's Park,National Cricket Stadium (Grenada)
Al Dhaid Cricket Village,Al Dhaid Cricket Village
United Cricket Club Ground,Headingley Cricket Ground
VRA Ground,VRA Cricket Ground
The Rose Bowl (Nursery),Rose Bowl (cricket ground)
Myreside,Myreside Stadium
Goldenacre,List of cricket grounds by capacity
Clontarf Cricket Club Ground,Castle Avenue cricket ground
Thailand Cricket Ground,Sheikh Zayed Cricket Stadium
Asian Institute of Technology Ground,Vadodara International Cricket Stadium
Terdthai Cricket Ground,List of cricket grounds by capacity
Hazelaarweg,Hazelaarweg Stadion
Waverley Oval,Waverley Park
Adelaide Oval No. 2,Adelaide Oval
Holkar Cricket Stadium,Holkar Stadium
Willowmoore Park,Willowmoore Park
Boland Park,Boland Park
Castle Park Cricket Ground,Castle Park Cricket Ground
Ashlyns Road,List of five-wicket hauls in women's One Day International cricket
West Mersea Cricket Club,International cricket in 2015
Star Stile,City of Manchester Stadium
Hare Field,List of stadiums by capacity
Cricket Field Lane,Bramall Lane
Southend Club Cricket Stadium,List of Test cricket grounds
ICC Academy Ground No 2,ICC Academy Ground
Sheikh Zayed Stadium Nursery 1,Sheikh Zayed Cricket Stadium
Diamond Oval,De Beers Diamond Oval
Sheikh Kamal International Cricket Stadium,Sheikh Abu Naser Stadium
Merchant Taylors' School Ground,Brabourne Stadium
Subrata Roy Sahara Stadium,Maharashtra Cricket Association Stadium
Haslegrave Ground,List of women's Twenty20 International cricket grounds
Sportpark Westvliet,List of One Day International cricket grounds
De Beers Diamond Oval,De Beers Diamond Oval
Chevrolet Park,Mangaung Oval
Faleata Oval No 1,List of stadiums in Oceania
Faleata Oval No 3,List of stadiums in Oceania
Faleata Oval No 2,List of stadiums in Oceania
Nondescripts Cricket Club Ground,Colombo Cricket Club Ground
Guanggong International Cricket Stadium,Guanggong International Cricket Stadium
ICC Global Cricket Academy,2024 ICC Men's T20 World Cup
Sawai Mansingh Stadium,Sawai Mansingh Stadium
Louth Cricket Club,List of women's One Day International cricket grounds
Somerset Cricket Club,Somerset County Cricket Club in 2009
"Lords, St David's Cricket Club Ground",Lord's
Merrion Cricket Club Ground,List of women's Twenty20 International cricket grounds
MA Aziz Stadium,M. A. Aziz Stadium
Brisbane Cricket Ground,The Gabba
Bangabandhu National Stadium,Bangabandhu National Stadium
AMI Stadium,Lancaster Park
"Observatory Lane, Rathmines",Observatory Lane
Carisbrook,Carisbrook
Queen's Park Oval,Queen's Park Oval
Daren Sammy National Cricket Stadium,Daren Sammy Cricket Ground
Arnos Vale Ground,Arnos Vale Stadium
National Cricket Stadium,India national cricket team
ICC Academy Oval 2,2024 ICC Men's T20 World Cup
Abu Dhabi Oval 1,Sheikh Zayed Cricket Stadium
Sheikh Zayed Stadium Nursery 2,Sheikh Zayed Cricket Stadium
ICC Academy Oval 1,2024 ICC Men's T20 World Cup
Zayed Cricket Stadium,Sheikh Zayed Cricket Stadium
Abu Dhabi Oval 2,Sheikh Zayed Cricket Stadium
Maple Leaf North-West Ground,Maple Leaf Cricket Club
Queenstown Events Centre,Queenstown Events Centre
Sylhet Stadium,Sylhet International Cricket Stadium
Mannofield Park,List of cricket grounds by capacity
West End Park International Cricket Stadium,West End Park International Cricket Stadium
OUTsurance Oval,Mangaung Oval
Dubai Sports City Cricket Stadium,Dubai International Cricket Stadium
Maple Leaf South-West Ground,Maple Leaf Cricket Club
Reliance Stadium,"Lal Bahadur Shastri Stadium, Hyderabad"
Dr DY Patil Sports Academy,DY Patil Stadium
Zohur Ahmed Chowdhury Stadium,Zohur Ahmed Chowdhury Stadium
Boland Bank Park,Boland Park
Madhavrao Scindia Cricket Ground,Madhavrao Scindia Cricket Ground
Captain Roop Singh Stadium,Captain Roop Singh Stadium
Sea Breeze Oval,Perth Stadium
Moses Mabhida Stadium,Moses Mabhida Stadium
"Toronto Cricket, Skating and Curling Club","Toronto Cricket, Skating and Curling Club Ground"
Ovale di Rastignano,International cricket in 2010
Centro Sportivo Dozza,World Cricket League
Centro Sportivo Ca'Nova,Cayman Islands national cricket team
Cobham Oval (New),Cobham Oval
Mombasa Sports Club Ground,List of cricket grounds by capacity
Sir Vivian Richards Stadium,Sir Vivian Richards Stadium
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,0
Wanderers,Wanderers Stadium
Kensington Oval,Kensington Oval
Vidarbha C.A. Ground,Vidarbha Cricket Association Ground
Iqbal Stadium,Iqbal Stadium
John Davies Oval,Queenstown Events Centre
Jade Stadium,Lancaster Park
Shaheed Chandu Stadium,Shaheed Chandu Stadium
Chittagong Divisional Stadium,Zohur Ahmed Chowdhury Stadium
Narayanganj Osmani Stadium,Khan Shaheb Osman Ali Stadium
Nahar Singh Stadium,Nahar Singh Stadium
"Nehru Stadium, Fatorda",Fatorda Stadium
Keenan Stadium,Keenan Stadium
Maharani Usharaje Trust Cricket Ground,Holkar Stadium
Asgiriya Stadium,Asgiriya Stadium
"Antigua Recreation Ground, St John's",Antigua Recreation Ground
"Sinovich Park, Sinoville",List of women's One Day International cricket grounds
Goodyear Park,Mangaung Oval
Sedgars Park,JB Marks Oval
Ruaraka Sports Club Ground,List of cricket grounds by capacity
Jaffery Sports Club Ground,List of cricket grounds by capacity
Indian Petrochemicals Corporation Limited Sports Complex Ground,IPCL Sports Complex Ground
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Dr. Y. S. Rajashekar Reddy ACA–VDCA Cricket Stadium
Harlequins,Twickenham Stoop
Titwood,List of cricket grounds by capacity
P Saravanamuttu Stadium,Paikiasothy Saravanamuttu Stadium
Sector 16 Stadium,Sector 16 Stadium
Vidarbha Cricket Association Ground,Vidarbha Cricket Association Stadium
M.Chinnaswamy Stadium,M. Chinnaswamy Stadium
Stellenbosch University 1,Stellenbosch University
Stellenbosch University 2,Stellenbosch University
"Niaz Stadium, Hyderabad",Niaz Stadium
Sheikhupura Stadium,Sheikhupura Stadium
Marrara Cricket Ground,The Gabba
Welagedara Stadium,Welagedara Stadium
Ted Summerton Reserve,Perth Stadium
Aurora Stadium,York Park
International Sports Stadium,Dubai International Cricket Stadium
Bermuda National Stadium,Bermuda National Stadium
Pukekura Park,Pukekura Park
"Sir Vivian Richards Stadium, Antigua",Sir Vivian Richards Stadium
"Kensington Oval, Barbados",Kensington Oval
Lalabhai Contractor Stadium,Lalabhai Contractor Stadium
Tolerance Oval,Tolerance Oval
"Darren Sammy National Cricket Stadium, St Lucia",Daren Sammy Cricket Ground
"National Cricket Stadium, Grenada",National Cricket Stadium (Grenada)
"Warner Park, St Kitts",Warner Park Sporting Complex
Desert Springs Cricket Ground,Desert Springs Cricket Ground
Aigburth,List of defunct English football stadiums
Pokhara Rangasala,Pokhara Rangasala
"Brian Lara Stadium, Tarouba",Brian Lara Cricket Academy
Seebarn Cricket Centre,Finland national cricket team
Pierre Werner Cricket Ground,List of Twenty20 International cricket grounds
College Field,Dr. Y. S. Rajashekar Reddy ACA–VDCA Cricket Stadium
Moara Vlasiei Cricket Ground,List of India Twenty20 International cricket records
Narendra Modi Stadium,Narendra Modi Stadium
West Park Oval,List of cricket grounds in the West Indies
Casey Fields No. 4,Casey Fields
Lilac Hill Park,List of stadiums in Oceania
Bankstown Oval,Bankstown Oval
Cazaly's Stadium,Cazalys Stadium
Albert Park 1,Eden Park
Albert Park 2,Eden Park
Sportpark Maarschalkerweerd,List of One Day International cricket grounds
Sportpark Het Schootsveld 2,List of Twenty20 International cricket grounds
Sportpark Thurlede,List of One Day International cricket grounds
Church Street Park,Church Street Park
Chilaw Marians Cricket Club Ground,Chilaw Marians Cricket Club Ground
Colombo Cricket Club Ground,Colombo Cricket Club Ground
Barsapara Cricket Stadium,"Assam Cricket Association Stadium, Guwahati"
Greenfield International Stadium,Greenfield International Stadium
"Daren Sammy National Cricket Stadium, St Lucia",Daren Sammy Cricket Ground
Botswana Cricket Association Oval 1,Botswana Cricket Association Oval
Botswana Cricket Association Oval 2,Botswana Cricket Association Oval
UKM-YSD Cricket Oval,List of Twenty20 International cricket grounds
Friendship Oval,Narendra Modi Stadium
"Spytty Park, Newport",Newport International Sports Village
"Chester Road North Ground, Kidderminster",Kidderminster
Radlett Cricket Club,Radlett
Bready,List of One Day International cricket grounds
"Grange Cricket Club, Raeburn Place",The Grange Club
Rajiv Gandhi International Stadium,Rajiv Gandhi International Cricket Stadium
Punjab Cricket Association IS Bindra Stadium,Inderjit Singh Bindra Stadium
FTZ Sports Complex (BOI),0
Amini Park,List of cricket grounds by capacity
LC de Villiers Oval,Tuks Cricket Oval
City Oval,The Oval
"Ground 1, Independence Park",Green Park Stadium
"Ground 2, Independence Park",India national cricket team
Kyambogo Cricket Oval,Uganda national cricket team
Lugogo Cricket Oval,Lugogo Stadium
Sydney Parade,Sydney Cricket Ground
King George V Sports Ground,Sydney Cricket Ground
Invermay Park,York Park
"Queen's Park Oval, Trinidad",Queen's Park Oval
"Sabina Park, Jamaica",Sabina Park
Prem Tinsulanonda International School,Iran national cricket team
Gymkhana Club,Wankhede Stadium
"Darren Sammy National Cricket Stadium, Gros Islet",Daren Sammy Cricket Ground
Willowmoore Park A Field,Willowmoore Park
Willowmoore Park B Field,Willowmoore Park
North Dalton Park,List of cricket grounds by capacity
Lavington Sports Oval,Lavington Sports Ground
Mainpower Oval,List of stadiums in Oceania
Coolidge Cricket Ground,Coolidge Cricket Ground
Kwekwe Sports Club,Kwekwe Sports Club
Sulabiya Ground,ACC Under-19 Cup
Tack-Tec Ground,List of megaprojects
Tafawa Balewa Square Cricket Oval,Tafawa Balewa Square
UKM Cricket Oval,List of Twenty20 International cricket grounds
Kinrara Oval,Kinrara Academy Oval
"Pembroke Cricket Club, Sandymount",List of women's Twenty20 International cricket grounds
Rajiv Gandhi International Cricket Stadium,Rajiv Gandhi International Cricket Stadium
"Simonds Stadium, South Geelong",Kardinia Park (stadium)
North Sydney Oval No.2,North Sydney Oval
Queen Elizabeth II Oval,Queen Elizabeth Oval
Howell Oval,Australia national cricket team
Malahide,List of Test cricket grounds
Garon Park,Southend-on-Sea
Khettarama Stadium,R. Premadasa Stadium
Skarpnack 1,International cricket in 2016
Skarpnack 2,International cricket in 2016
Johor Cricket Academy Oval,List of Asian stadiums by capacity
Eden Park No 2,Eden Park
"Wright Cricket Field, Woodley Park",Bath City F.C.
"Severn Cricket Field, Woodley Park",Harlequin Amateurs
"Wong Cricket Field, Woodley Park",List of women's Twenty20 International cricket grounds
Dower Park,Kenneth Gandar-Dower
Canterbury Park,Lancaster Park
White Hills Oval,List of Twenty20 International cricket grounds
Strathfieldsaye,List of Australian rules football clubs in Victoria
